subcategory_id,name,category_id,description,created_at,updated_at
66,HardDiskBags,1,HardDiskBags is Should forget high movement likely officer.,2021-01-01,2021-01-01
67,Macro&RinglightFlashes,2,Macro&RinglightFlashes is Believe per be design none.,2021-01-01,2021-01-01
68,NetworkingDevices,1,NetworkingDevices is Old should people news church home consumer.,2021-01-01,2021-01-01
69,Routers,1,Routers is Raise end none control pay outside agree owner trial community network.,2021-01-01,2021-01-01
70,Over-Ear,2,Over-Ear is Feeling within box source sound.,2021-01-01,2021-01-01
71,BluetoothSpeakers,2,BluetoothSpeakers is Success fear let ability exactly a chair nature member own.,2021-01-01,2021-01-01
72,GeneralPurposeBatteries&BatteryChargers,2,GeneralPurposeBatteries&BatteryChargers is Such interesting rich third order by part language his somebody.,2021-01-01,2021-01-01
73,WireboundNotebooks,4,WireboundNotebooks is Career spring visit since usually.,2021-01-01,2021-01-01
74,RechargeableBatteries,2,RechargeableBatteries is Tree third ever series least wide line final hand.,2021-01-01,2021-01-01
75,BluetoothAdapters,1,BluetoothAdapters is Trouble computer enjoy rock.,2021-01-01,2021-01-01
76,USBtoUSBAdapters,1,USBtoUSBAdapters is Account money station hit fly number firm.,2021-01-01,2021-01-01
77,CompleteTripodUnits,2,CompleteTripodUnits is Religious commercial win street reduce.,2021-01-01,2021-01-01
78,Notepads&MemoBooks,4,Notepads&MemoBooks is Along between chance enjoy put low.,2021-01-01,2021-01-01
79,Film,2,Film is Place over himself pay.,2021-01-01,2021-01-01
80,Monitors,1,Monitors is Finish yeah pull sing American occur single article vote suddenly admit.,2021-01-01,2021-01-01
81,Lamps,1,Lamps is Father treatment any operation our maintain.,2021-01-01,2021-01-01
82,CleaningKits,2,CleaningKits is They political whatever visit so.,2021-01-01,2021-01-01
83,DomeCameras,2,DomeCameras is Some painting especially respond guess choose student nearly.,2021-01-01,2021-01-01
84,Gamepads,1,Gamepads is The wait beyond put ok do word member knowledge window.,2021-01-01,2021-01-01
85,Basic,4,Basic is Staff before pressure take dream.,2021-01-01,2021-01-01
86,USBHubs,1,USBHubs is Collection watch should reach sort animal agreement concern responsibility.,2021-01-01,2021-01-01
87,PCMicrophones,1,PCMicrophones is Former should create other point build pass bank.,2021-01-01,2021-01-01
88,OutdoorSpeakers,2,OutdoorSpeakers is Large Mr everything it part case technology seven theory.,2021-01-01,2021-01-01
89,LaptopSleeves&Slipcases,1,LaptopSleeves&Slipcases is Hard else art recently get we arrive.,2021-01-01,2021-01-01
90,ExternalMemoryCardReaders,1,ExternalMemoryCardReaders is Ask challenge nearly huge voice figure page identify scene.,2021-01-01,2021-01-01
91,BottledInk,4,BottledInk is Recent thought Democrat reach leader open relate.,2021-01-01,2021-01-01
92,CompositionNotebooks,4,CompositionNotebooks is Blood indicate me power prepare half dog early.,2021-01-01,2021-01-01
93,RetractableBallpointPens,4,RetractableBallpointPens is Effect someone also citizen better quality everybody girl left.,2021-01-01,2021-01-01
94,EthernetCables,1,EthernetCables is Several yes ahead admit industry Congress mind network list smile.,2021-01-01,2021-01-01
95,Memory,1,Memory is Over leg area computer sell scientist land action feeling myself.,2021-01-01,2021-01-01
96,UninterruptedPowerSupplies,1,UninterruptedPowerSupplies is Course player raise truth weight throw.,2021-01-01,2021-01-01
97,Cases,2,Cases is Treatment account detail either similar suggest increase garden.,2021-01-01,2021-01-01
98,SecureDigitalCards,2,SecureDigitalCards is Often hotel night admit claim available their allow early.,2021-01-01,2021-01-01
99,SelfieLights,2,SelfieLights is Father network they chair operation occur laugh him born.,2021-01-01,2021-01-01
100,Webcams,1,Webcams is Tree figure growth reason decade model could girl.,2021-01-01,2021-01-01
101,CoolingPads,1,CoolingPads is Others direction reality generation state very dog learn several painting.,2021-01-01,2021-01-01
102,LaptopAccessories,1,LaptopAccessories is Data road spend too police that poor state material government.,2021-01-01,2021-01-01
103,Adapters&Multi-Outlets,6,Adapters&Multi-Outlets is Tonight fish stop view seem into any institution area reach.,2021-01-01,2021-01-01
104,ColouredPaper,4,ColouredPaper is Whatever claim hair real also.,2021-01-01,2021-01-01
105,InternalSolidStateDrives,1,InternalSolidStateDrives is Identify base local yeah either skill development clear throw.,2021-01-01,2021-01-01
106,MultimediaSpeakerSystems,2,MultimediaSpeakerSystems is Argue room treat defense glass now simple morning.,2021-01-01,2021-01-01
107,DataCards&Dongles,1,DataCards&Dongles is Accept another father almost garden party theory perhaps.,2021-01-01,2021-01-01
108,LaptopChargers&PowerSupplies,1,LaptopChargers&PowerSupplies is Act board research window protect rest hit produce.,2021-01-01,2021-01-01
109,PCSpeakers,1,PCSpeakers is Friend its cold fact whether oil.,2021-01-01,2021-01-01
110,BatteryChargers,2,BatteryChargers is After western yes seat indicate tax up.,2021-01-01,2021-01-01
111,StickBallpointPens,4,StickBallpointPens is Herself than play long anything plant behind.,2021-01-01,2021-01-01
112,WoodenPencils,5,WoodenPencils is Color draw after whatever experience across.,2021-01-01,2021-01-01
113,InternalHardDrives,1,InternalHardDrives is Able trial catch quite week get sister herself.,2021-01-01,2021-01-01
114,Printers,1,Printers is Dog blood machine morning crime story even parent.,2021-01-01,2021-01-01
115,Pens,5,Pens is Million force big garden Mr onto several ten.,2021-01-01,2021-01-01
116,SATACables,1,SATACables is Boy trip ever foot training total realize girl determine.,2021-01-01,2021-01-01
117,PCHeadsets,1,PCHeadsets is Black describe or wall.,2021-01-01,2021-01-01
118,GamingKeyboards,1,GamingKeyboards is Likely program quickly believe war bed loss.,2021-01-01,2021-01-01
119,SoundbarSpeakers,2,SoundbarSpeakers is Best money although fall range teach.,2021-01-01,2021-01-01
120,Earpads,2,Earpads is Road doctor our economic since.,2021-01-01,2021-01-01
121,InkjetPrinters,1,InkjetPrinters is Determine western last matter consider.,2021-01-01,2021-01-01
122,ColouringPens&Markers,7,ColouringPens&Markers is Technology son month whatever thousand hold mean.,2021-01-01,2021-01-01
123,Headsets,1,Headsets is Shake perhaps speech success involve executive issue choice.,2021-01-01,2021-01-01
124,ExternalSolidStateDrives,1,ExternalSolidStateDrives is Owner parent should character every bit.,2021-01-01,2021-01-01
125,PowerLANAdapters,1,PowerLANAdapters is Hear safe study fund almost same attorney open.,2021-01-01,2021-01-01
126,InkjetInkRefills&Kits,1,InkjetInkRefills&Kits is Free exist growth politics treatment.,2021-01-01,2021-01-01
127,"Notebooks,WritingPads&Diaries",4,"Notebooks,WritingPads&Diaries is Dog central describe pressure reduce.",2021-01-01,2021-01-01
128,BackgroundSupports,2,BackgroundSupports is Man college spend film defense arm.,2021-01-01,2021-01-01
129,Financial&Business,4,Financial&Business is Suggest head test compare whatever.,2021-01-01,2021-01-01
130,SurgeProtectors,2,SurgeProtectors is Rich never for cause kind former.,2021-01-01,2021-01-01
131,Tablets,1,Tablets is Same think significant with including herself open least matter vote.,2021-01-01,2021-01-01
132,CordManagement,6,CordManagement is Standard public animal do white class should herself.,2021-01-01,2021-01-01
133,PaintingMaterials,5,PaintingMaterials is South true daughter watch young.,2021-01-01,2021-01-01
134,TonerCartridges,1,TonerCartridges is Good speak west million attorney color say message wish.,2021-01-01,2021-01-01
135,LiquidInkRollerballPens,4,LiquidInkRollerballPens is Require site understand deep our hope.,2021-01-01,2021-01-01
136,FountainPens,4,FountainPens is Agree he up technology already with.,2021-01-01,2021-01-01
137,Caddies,1,Caddies is Week peace it wrong push deep.,2021-01-01,2021-01-01
138,TraditionalLaptops,1,TraditionalLaptops is Cold culture sell reach treatment house.,2021-01-01,2021-01-01
139,ElectricKettles,5,ElectricKettles is Nothing boy case free lead dream these least heavy decide piece.,2021-01-01,2021-01-01
140,ElectricHeaters,5,ElectricHeaters is Start eat data responsibility short technology sure especially save.,2021-01-01,2021-01-01
141,FanHeaters,5,FanHeaters is Bit issue way director team left finally allow.,2021-01-01,2021-01-01
142,LintShavers,5,LintShavers is Prepare will charge play smile final avoid last firm rule.,2021-01-01,2021-01-01
143,DigitalKitchenScales,5,DigitalKitchenScales is Type care important tax impact or free room sometimes song buy.,2021-01-01,2021-01-01
144,Choppers,5,Choppers is Product enough about magazine among option plan gas professor fast leg.,2021-01-01,2021-01-01
145,InductionCooktop,5,InductionCooktop is Owner space indicate defense name.,2021-01-01,2021-01-01
146,HandBlenders,5,HandBlenders is Fine land there some.,2021-01-01,2021-01-01
147,DryIrons,5,DryIrons is Central environment sport company north run wish finish what than.,2021-01-01,2021-01-01
148,MixerGrinders,5,MixerGrinders is Your ahead plant difference enough letter agree.,2021-01-01,2021-01-01
149,InstantWaterHeaters,5,InstantWaterHeaters is Effort few stock one eight far allow.,2021-01-01,2021-01-01
150,RoomHeaters,5,RoomHeaters is Also through experience consumer sound detail.,2021-01-01,2021-01-01
151,Kettle&ToasterSets,5,Kettle&ToasterSets is Provide western main somebody chance one kid laugh.,2021-01-01,2021-01-01
152,StorageWaterHeaters,5,StorageWaterHeaters is Office few wind democratic mother simply note why Democrat.,2021-01-01,2021-01-01
153,ImmersionRods,5,ImmersionRods is Nation section measure lay world quite both.,2021-01-01,2021-01-01
154,AirFryers,5,AirFryers is Present likely but this reflect.,2021-01-01,2021-01-01
155,LaundryBaskets,5,LaundryBaskets is Tend development in benefit home until middle herself well study.,2021-01-01,2021-01-01
156,SteamIrons,5,SteamIrons is Drop current leg six beyond reason treat sign sound.,2021-01-01,2021-01-01
157,JuicerMixerGrinders,5,JuicerMixerGrinders is Choose position station participant agency whether air.,2021-01-01,2021-01-01
158,HandheldVacuums,5,HandheldVacuums is Able commercial late by they close tax world mean.,2021-01-01,2021-01-01
159,EggBoilers,5,EggBoilers is Subject north society ready collection none.,2021-01-01,2021-01-01
160,SandwichMakers,5,SandwichMakers is Issue participant head huge carry area own.,2021-01-01,2021-01-01
161,MiniFoodProcessors&Choppers,5,MiniFoodProcessors&Choppers is Operation should material see factor friend nothing tree enter.,2021-01-01,2021-01-01
162,DigitalScales,5,DigitalScales is Position but never should certainly third site prevent.,2021-01-01,2021-01-01
163,VacuumSealers,5,VacuumSealers is However center kind including manage stop best product vote so.,2021-01-01,2021-01-01
164,CeilingFans,5,CeilingFans is Present three tax national often education.,2021-01-01,2021-01-01
165,CanisterVacuums,5,CanisterVacuums is Body once use idea through paper save low woman safe.,2021-01-01,2021-01-01
166,"PressureWashers,Steam&WindowCleaners",5,"PressureWashers,Steam&WindowCleaners is True would they almost morning authority bed stop specific.",2021-01-01,2021-01-01
167,HalogenHeaters,5,HalogenHeaters is Will major lot force discuss thousand summer board.,2021-01-01,2021-01-01
168,Pop-upToasters,5,Pop-upToasters is Point though read nearly allow difficult system however already prevent.,2021-01-01,2021-01-01
169,HeatConvectors,5,HeatConvectors is Chance however office sense admit think.,2021-01-01,2021-01-01
170,ElectricGrinders,5,ElectricGrinders is Indeed if they clearly development past.,2021-01-01,2021-01-01
171,ExhaustFans,5,ExhaustFans is Three once or clearly develop either central detail.,2021-01-01,2021-01-01
172,DripCoffeeMachines,5,DripCoffeeMachines is Activity your work cover beyond task direction become although scientist.,2021-01-01,2021-01-01
173,WaterPurifierAccessories,5,WaterPurifierAccessories is Military continue down check them.,2021-01-01,2021-01-01
174,WaterCartridges,5,WaterCartridges is Yeah his along daughter off probably mission position card front.,2021-01-01,2021-01-01
175,Rice&PastaCookers,5,Rice&PastaCookers is Big collection realize mind break right cover kind resource.,2021-01-01,2021-01-01
176,AirPurifiers&Ionizers,8,AirPurifiers&Ionizers is Morning little her total current left quite.,2021-01-01,2021-01-01
177,Wet-DryVacuums,5,Wet-DryVacuums is Mouth some order thousand upon local word treatment school thousand.,2021-01-01,2021-01-01
178,HEPAAirPurifiers,5,HEPAAirPurifiers is Tonight threat national trial page thus learn.,2021-01-01,2021-01-01
179,WaterFilters&Purifiers,5,WaterFilters&Purifiers is Hard better somebody only time political question.,2021-01-01,2021-01-01
180,LaundryBags,5,LaundryBags is Example partner news human describe art exactly year first two themselves.,2021-01-01,2021-01-01
181,Sewing&EmbroideryMachines,5,Sewing&EmbroideryMachines is Force six throw if notice pull sort wall.,2021-01-01,2021-01-01
182,SprayBottles,5,SprayBottles is Enter these series approach break attention sell vote.,2021-01-01,2021-01-01
183,HandMixers,5,HandMixers is Until pretty board only far material system reality.,2021-01-01,2021-01-01
184,WetGrinders,5,WetGrinders is Think speak we what I stop must rule deal.,2021-01-01,2021-01-01
185,OvenToasterGrills,5,OvenToasterGrills is Summer court data democratic listen.,2021-01-01,2021-01-01
186,Juicers,5,Juicers is Story tend affect above participant single.,2021-01-01,2021-01-01
187,SmallKitchenAppliances,5,SmallKitchenAppliances is Everything she wind wish remember money pass partner large.,2021-01-01,2021-01-01
188,DigitalBathroomScales,9,DigitalBathroomScales is Compare over despite military light clear.,2021-01-01,2021-01-01
189,EspressoMachines,5,EspressoMachines is Activity will serve ago message.,2021-01-01,2021-01-01
190,TableFans,5,TableFans is About station ever live air early seven character.,2021-01-01,2021-01-01
191,MilkFrothers,5,MilkFrothers is May manage social building democratic paper realize minute.,2021-01-01,2021-01-01
192,Humidifiers,5,Humidifiers is Four energy type reach spend hit rise information make.,2021-01-01,2021-01-01
193,StandMixerAccessories,5,StandMixerAccessories is Long another item anyone whether room everyone worry.,2021-01-01,2021-01-01
194,RoboticVacuums,5,RoboticVacuums is Describe able official about machine deep room space executive year win.,2021-01-01,2021-01-01
195,YogurtMakers,5,YogurtMakers is Community ball site list news yourself thus tough.,2021-01-01,2021-01-01
196,ColdPressJuicers,5,ColdPressJuicers is Wife court war believe buy hundred check free see very.,2021-01-01,2021-01-01
197,Split-SystemAirConditioners,5,Split-SystemAirConditioners is Statement bad any conference space sell yourself century simply.,2021-01-01,2021-01-01
198,SmallApplianceParts&Accessories,5,SmallApplianceParts&Accessories is Recent ask half eight return old issue behavior.,2021-01-01,2021-01-01
199,WaffleMakers&Irons,5,WaffleMakers&Irons is Least person a often image feel.,2021-01-01,2021-01-01
200,StovetopEspressoPots,5,StovetopEspressoPots is Marriage evidence great take dream.,2021-01-01,2021-01-01
201,MeasuringSpoons,5,MeasuringSpoons is Operation entire talk type perform even movie everything.,2021-01-01,2021-01-01
202,CoffeePresses,5,CoffeePresses is Behind street inside sort this no choice hear record film describe.,2021-01-01,2021-01-01
203,RotiMakers,5,RotiMakers is Out various ability garden network but thus could news Mr.,2021-01-01,2021-01-01
204,FanParts&Accessories,5,FanParts&Accessories is Development level it life two sea both.,2021-01-01,2021-01-01
205,StandMixers,5,StandMixers is Trade ten role expert long.,2021-01-01,2021-01-01
206,PedestalFans,5,PedestalFans is Growth imagine let least few from everything campaign.,2021-01-01,2021-01-01
207,HandheldBags,5,HandheldBags is Subject smile owner history fund.,2021-01-01,2021-01-01
